timestamp,protocol,N,f,B,K,replica,host,time_sec,txs_delivered
2026-06-08 01:13:36,honeybadger,16,5,5000,1,12,121.40.158.250,18.892929,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,13,121.40.117.123,18.751816,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,14,121.40.88.101,18.806019,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,15,121.40.118.7,18.714583,4992
2026-06-08 01:29:17,honeybadger,16,5,7500,1,0,120.27.215.50,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,1,116.62.149.8,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,2,47.98.121.97,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,3,116.62.240.167,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,4,121.43.234.253,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,5,121.199.72.252,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,6,121.40.130.83,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,7,121.40.94.52,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,8,120.26.46.218,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,9,120.55.86.74,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,10,121.40.255.201,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,11,121.43.148.183,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,12,121.40.158.250,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,13,121.40.117.123,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,14,121.40.88.101,,
2026-06-08 01:29:17,honeybadger,16,5,7500,1,15,121.40.118.7,,
2026-06-08 01:30:45,honeybadger,16,5,10000,1,0,120.27.215.50,27.634089,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,1,116.62.149.8,27.651999,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,2,47.98.121.97,27.288477,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,3,116.62.240.167,27.29274,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,4,121.43.234.253,27.553791,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,5,121.199.72.252,27.448303,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,6,121.40.130.83,27.559473,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,7,121.40.94.52,27.357211,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,8,120.26.46.218,27.288213,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,9,120.55.86.74,27.913994,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,10,121.40.255.201,27.939939,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,11,121.43.148.183,27.81844,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,12,121.40.158.250,27.911945,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,13,121.40.117.123,27.511483,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,14,121.40.88.101,27.589678,10000
2026-06-08 01:30:45,honeybadger,16,5,10000,1,15,121.40.118.7,27.490297,10000
2026-06-08 01:56:02,honeybadger,16,5,25000,1,0,120.27.215.50,54.19745,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,1,116.62.149.8,54.141449,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,2,47.98.121.97,54.081481,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,3,116.62.240.167,54.927386,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,4,121.43.234.253,54.077179,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,5,121.199.72.252,54.114016,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,6,121.40.130.83,54.14032,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,7,121.40.94.52,54.210094,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,8,120.26.46.218,54.130512,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,9,120.55.86.74,54.238229,24992
